Data,Pesquisa Bruta,Média Móvel,Instituto
2023-10-03,36.6,36.6,Paraná Pesquisas
2024-01-28,37.6,37.6,Paraná Pesquisas
2024-05-01,36.0,41.0,Paraná Pesquisas
2024-05-06,46.0,41.0,Quaest
2024-07-22,38.3,38.3,Paraná Pesquisas
2024-11-10,35.2,34.400000000000006,CNT
2024-11-25,33.6,34.400000000000006,Paraná Pesquisas
2025-01-26,43.0,37.275,Quaest
2025-01-26,30.0,37.275,Quaest
2025-01-31,45.7,39.61666666666667,AtlasIntel
2025-02-23,30.4,40.162499999999994,CNT
2025-02-27,47.0,41.38333333333333,AtlasIntel
2025-02-27,41.6,41.38333333333333,AtlasIntel
2025-03-22,37.6,40.32000000000001,Futura
2025-03-24,46.0,41.05833333333334,AtlasIntel
2025-03-31,43.0,40.37,Quaest
2025-04-03,48.0,40.37,Datafolha
2025-04-03,35.0,40.37,Datafolha
2025-04-19,34.0,40.37,Paraná Pesquisas
2025-04-19,40.6,40.37,Paraná Pesquisas
2025-04-24,42.8,41.409090909090914,AtlasIntel
2025-04-24,46.7,41.409090909090914,AtlasIntel
2025-04-25,30.0,40.95,Gerp
2025-05-23,44.1,37.513333333333335,AtlasIntel
2025-05-23,45.3,37.513333333333335,AtlasIntel
2025-05-31,24.0,38.25625,Gerp
2025-06-01,41.0,38.25625,Quaest
2025-06-04,41.1,38.25625,Futura
2025-06-11,37.0,38.25625,Datafolha
2025-06-11,43.0,38.25625,Datafolha
2025-06-15,30.5,38.06111111111111,CNT
2025-06-22,40.1,38.06111111111111,Paraná Pesquisas
2025-06-22,34.0,38.06111111111111,Paraná Pesquisas
2025-06-23,34.9,38.06111111111111,Futura
2025-06-23,28.2,38.06111111111111,Futura
2025-06-27,41.7,38.58888888888888,Neokemp
2025-06-27,35.0,38.58888888888888,Neokemp
2025-06-30,44.6,38.879999999999995,AtlasIntel
2025-06-30,47.6,38.879999999999995,AtlasIntel
2025-07-14,41.0,39.43333333333333,Quaest
2025-07-14,32.0,39.43333333333333,Quaest
2025-07-28,48.5,41.84375,AtlasIntel
2025-07-28,50.4,41.84375,AtlasIntel
2025-07-30,45.0,42.32000000000001,Datafolha
2025-07-30,38.0,42.32000000000001,Datafolha
2025-08-17,43.0,42.71176470588235,Quaest
2025-08-17,35.0,42.71176470588235,Quaest
2025-08-21,41.9,42.71176470588235,Paraná Pesquisas
2025-08-21,35.1,42.71176470588235,Paraná Pesquisas
2025-08-25,46.6,42.71176470588235,AtlasIntel
2025-08-25,44.1,42.71176470588235,AtlasIntel
2025-08-30,42.0,41.81333333333334,Real Time
2025-09-06,35.8,40.65882352941177,CNT
2025-09-06,43.9,40.65882352941177,CNT
2025-09-14,43.0,40.65882352941177,Quaest
2025-09-14,48.2,40.65882352941177,AtlasIntel
2025-09-14,35.0,40.65882352941177,Quaest
2025-09-14,50.6,40.65882352941177,AtlasIntel
2025-10-05,45.0,42.233333333333334,Quaest
2025-10-05,39.0,42.233333333333334,Quaest
2025-10-06,36.0,42.233333333333334,Gerp
2025-10-06,27.0,42.233333333333334,Gerp
2025-10-19,52.0,41.71666666666667,AtlasIntel
2025-10-19,51.3,41.71666666666667,AtlasIntel
