instituto,data,Lula,Freitas,Ratinho,Zema,Caiado,Gomes,J. Bolsonaro,Tebet,Marçal,Leite,Barbalho,M. Bolsonaro,Moro,Cristina
AtlasIntel,15–19 Oct 2025,51.3,30.4,3.0,2.5,6.0,,,,,,,,,
Quaest,2–5 Oct 2025,39.0,18.0,,4.0,4.0,12.0,,,,,,,,
Gerp,29 Sep – 6 Oct 2025,27.0,23.0,5.0,3.0,3.0,7.0,,,,,,,,
Quaest,12–14 Sep 2025,35.0,17.0,,5.0,6.0,13.0,,,,,,,,
AtlasIntel,10–14 Sep 2025,48.2,30.4,2.6,3.0,3.7,4.3,,,,,,,,
CNT,3–6 Sep 2025,35.8,17.1,10.0,3.6,4.2,11.6,,,,,,,,
Real Time,28–30 Aug 2025,42.0,40.0,,4.0,,,,,,,,,,
AtlasIntel,20–25 Aug 2025,44.1,31.8,4.0,4.4,3.2,3.4,,,,,,,,
Paraná Pesquisas,17–21 Aug 2025,35.1,24.5,8.8,,4.6,9.9,,,,,,,,
Quaest,13–17 Aug 2025,35.0,17.0,,4.0,6.0,11.0,,,,,,,,
Datafolha,29–30 Jul 2025,38.0,21.0,12.0,6.0,7.0,,,,,,,,,
AtlasIntel,25–28 Jul 2025,48.5,33.0,3.6,3.6,3.0,2.9,,,,,,,,
Quaest,10–14 Jul 2025,32.0,15.0,,4.0,5.0,12.0,,,,,,,,
AtlasIntel,27–30 Jun 2025,44.6,34.0,2.5,4.4,1.7,3.5,,,,,,,,
Neokemp,25–27 Jun 2025,35.0,37.5,,,4.9,10.2,,,,,,,,
Futura,12–23 Jun 2025,28.2,26.3,,,6.0,14.4,,,,,,,,
Paraná Pesquisas,18–22 Jun 2025,34.0,24.3,6.9,,4.3,13.5,,,,,,,,
CNT,11–15 Jun 2025,30.5,18.3,8.1,4.0,4.1,14.6,,,,,,,,
Datafolha,10–11 Jun 2025,37.0,21.0,11.0,6.0,6.0,,,,,,,,,
Gerp,28–31 May 2025,24.0,18.0,7.0,3.0,5.0,9.0,,,,,,,,
AtlasIntel,19–23 May 2025,44.1,33.1,,1.4,4.7,3.0,,,,,,,,
Gerp,21–25 Apr 2025,30.0,19.0,,4.0,4.0,9.0,,,,,,,,
AtlasIntel,20–24 Apr 2025,42.8,34.3,,1.6,4.3,2.7,,,,,,,,
Paraná Pesquisas,16–19 Apr 2025,34.0,27.3,,,4.8,12.6,,,,,,,,
Datafolha,1–3 Apr 2025,35.0,15.0,,3.0,2.0,11.0,,,,,,,,
AtlasIntel,24–27 Feb 2025,41.6,32.3,,4.5,4.5,,,,,,,,,
CNT,19–23 Feb 2025,30.4,14.0,,3.9,3.9,14.3,,,,,,,,
Quaest,23–26 Jan 2025,30.0,13.0,,3.0,3.0,9.0,,,,,,,,
AtlasIntel,15–19 Oct 2025,52.0,44.0,,,,,,,,,,,,
Quaest,2–5 Oct 2025,45.0,33.0,,,,,,,,,,,,
Gerp,29 Sep – 6 Oct 2025,36.0,45.0,,,,,,,,,,,,
Quaest,12–14 Sep 2025,43.0,35.0,,,,,,,,,,,,
AtlasIntel,10–14 Sep 2025,50.6,45.2,,,,,,,,,,,,
CNT,3–6 Sep 2025,43.9,37.6,,,,,,,,,,,,
AtlasIntel,20–25 Aug 2025,46.6,48.4,,,,,,,,,,,,
Paraná Pesquisas,17–21 Aug 2025,41.9,41.9,,,,,,,,,,,,
Quaest,13–17 Aug 2025,43.0,35.0,,,,,,,,,,,,
Datafolha,29–30 Jul 2025,45.0,41.0,,,,,,,,,,,,
AtlasIntel,25–28 Jul 2025,50.4,46.6,,,,,,,,,,,,
Quaest,10–14 Jul 2025,41.0,37.0,,,,,,,,,,,,
AtlasIntel,27–30 Jun 2025,47.6,46.9,,,,,,,,,,,,
Neokemp,25–27 Jun 2025,41.7,46.5,,,,,,,,,,,,
Futura,12–23 Jun 2025,34.9,46.5,,,,,,,,,,,,
Paraná Pesquisas,18–22 Jun 2025,40.1,43.6,,,,,,,,,,,,
Datafolha,10–11 Jun 2025,43.0,42.0,,,,,,,,,,,,
Futura,2–4 Jun 2025,41.1,41.0,,,,,,,,,,,,
Quaest,29 May – 1 Jun 2025,41.0,40.0,,,,,,,,,,,,
AtlasIntel,19–23 May 2025,45.3,48.9,,,,,,,,,,,,
AtlasIntel,20–24 Apr 2025,46.7,46.7,,,,,,,,,,,,
Paraná Pesquisas,16–19 Apr 2025,40.6,43.4,,,,,,,,,,,,
Datafolha,1–3 Apr 2025,48.0,39.0,,,,,,,,,,,,
Quaest,27–31 Mar 2025,43.0,37.0,,,,,,,,,,,,
AtlasIntel,20–24 Mar 2025,46.0,47.0,,,,,,,,,,,,
Futura,19–22 Mar 2025,37.6,42.3,,,,,,,,,,,,
AtlasIntel,24–27 Feb 2025,47.0,49.0,,,,,,,,,,,,
AtlasIntel,27–31 Jan 2025,45.7,44.7,,,,,,,,,,,,
Quaest,23–26 Jan 2025,43.0,34.0,,,,,,,,,,,,
Paraná Pesquisas,21–25 Nov 2024,33.6,,,,3.7,7.9,37.6,7.7,,,,,,
CNT,7–10 Nov 2024,35.2,,,,,6.2,32.2,8.0,8.4,,,,,
Paraná Pesquisas,18–22 Jul 2024,38.3,,,,3.0,7.9,36.9,,,1.9,0.5,,,
Quaest,2–6 May 2024,46.0,40.0,,,,,,,,,,,,
Paraná Pesquisas,27 Apr – 1 May 2024,36.0,,,,,8.4,38.8,,,3.4,1.0,,,
Paraná Pesquisas,24–28 Jan 2024,37.6,,5.1,6.5,1.9,9.3,,,,,0.9,23.0,,
Paraná Pesquisas,29 Sep – 3 Oct 2023,36.6,12.7,4.6,5.7,1.2,6.3,,7.4,,2.1,,,6.7,1.9
